RepRapFirmware height map file v2 generated at 2022-04-01 08:53, min error -0.442, max error 0.226, mean -0.005, deviation 0.127
axis0,axis1,min0,max0,min1,max1,radius,spacing0,spacing1,num0,num1
X,Y,25.00,275.00,25.00,275.00,-1.00,35.71,35.71,8,8
  0.226,  0.141,  0.083, -0.009, -0.086, -0.172, -0.301, -0.442
  0.199,  0.116,  0.066,  0.016, -0.058, -0.126, -0.232, -0.366
  0.147,  0.104,  0.074,  0.036, -0.004, -0.088, -0.169, -0.264
  0.106,  0.059,  0.058,  0.021,  0.001, -0.056, -0.146, -0.211
  0.083,  0.066,  0.054,  0.037,  0.017, -0.025, -0.089, -0.145
  0.083,  0.075,  0.074,  0.055,  0.049,  0.010, -0.032, -0.087
  0.055,  0.053,  0.065,  0.066,  0.050,  0.045, -0.002, -0.038
  0.033,  0.058,  0.065,  0.087,  0.081,  0.081,  0.032,  0.008
