RepRapFirmware height map file v2 generated at 2022-02-22 15:43, min error -0.194, max error 0.071, mean -0.033, deviation 0.063
axis0,axis1,min0,max0,min1,max1,radius,spacing0,spacing1,num0,num1
X,Y,50.00,250.00,50.00,250.00,-1.00,50.00,50.00,5,5
  0.071,  0.038,  0.008, -0.114, -0.194
  0.040,  0.020, -0.024, -0.073, -0.155
 -0.009,  0.016,  0.000, -0.069, -0.136
 -0.045,  0.014, -0.008, -0.036, -0.086
 -0.034, -0.006, -0.013,  0.003, -0.037
