Sample,X,Y,Z
203,-0.293,-0.016,0.969
204,-0.359,-0.035,0.953
205,-0.332,-0.008,0.973
206,0.059,0.031,0.914
207,0.484,-0.176,0.992
208,0.535,-0.109,1.164
209,0.523,-0.137,1.098
210,0.211,-0.074,0.953
211,-0.109,0.117,0.934
212,-0.352,0.090,0.938
213,-0.113,0.000,0.938
214,0.277,-0.051,0.844
215,0.488,0.035,1.102
216,0.410,0.012,1.102
217,0.215,-0.105,1.180
218,-0.117,-0.035,1.078
219,-0.422,0.156,0.828
220,-0.410,0.070,0.949
221,-0.156,-0.129,0.906
222,-0.078,-0.051,0.949
223,-0.035,-0.020,0.984
224,0.023,-0.020,1.090
225,-0.012,-0.180,1.082
226,0.020,-0.102,0.984
227,-0.266,-0.051,0.977
228,-0.629,0.156,0.859
229,-0.562,0.098,1.008
230,-0.098,0.102,0.848
231,0.258,-0.145,1.145
232,0.266,-0.168,1.094
233,0.184,0.012,1.000
234,-0.098,-0.047,1.023
235,-0.102,-0.062,0.918
236,-0.340,0.066,0.941
237,-0.242,0.164,0.922
238,-0.035,-0.082,0.977
239,0.070,-0.027,1.000
240,0.156,-0.035,0.965
241,0.344,-0.250,1.031
242,0.301,-0.035,0.977
243,-0.234,0.086,0.891
244,-0.395,-0.027,1.082
245,-0.160,-0.008,1.020
246,0.176,0.156,0.930
247,0.285,-0.125,1.102
248,0.289,-0.172,1.148
249,0.223,-0.098,1.094
250,-0.059,0.066,0.984
251,-0.305,-0.004,1.105
252,-0.281,-0.148,0.945
253,-0.059,0.148,0.906
254,-0.133,0.102,0.922
255,-0.129,-0.133,1.109
256,0.184,-0.023,0.973
257,0.441,-0.062,0.902
258,0.000,0.012,0.996
259,-0.457,0.055,0.879
260,-0.289,0.027,0.914
261,-0.117,0.031,1.000
262,-0.352,0.000,0.879
263,-0.234,-0.086,0.973
264,0.266,-0.090,1.055
265,0.301,-0.148,1.090
266,0.176,-0.094,0.984
267,0.125,-0.125,1.078
268,-0.055,-0.043,1.098
269,-0.293,0.035,0.898
270,-0.172,-0.008,1.008
271,0.086,-0.078,1.094
272,0.254,0.078,0.941
273,0.270,-0.016,1.211
274,0.238,-0.027,0.984
275,0.059,-0.051,1.094
276,-0.305,0.203,0.820
277,-0.250,0.027,0.957
278,-0.133,-0.086,0.910
279,-0.133,-0.086,0.910
280,0.059,-0.027,0.840
281,0.152,-0.246,1.047
282,0.078,-0.008,1.039
283,0.180,-0.016,0.895
284,0.375,-0.230,1.008
285,0.211,-0.262,1.090
286,-0.195,0.047,0.879
287,-0.332,0.133,0.926
288,-0.160,-0.070,0.988
289,-0.012,-0.062,1.031
290,-0.020,-0.059,1.059
291,0.223,-0.047,1.078
292,0.176,-0.023,1.094
293,-0.098,0.027,0.992
294,-0.203,-0.125,1.207
295,-0.117,0.078,0.922
296,-0.086,0.223,0.973
297,0.082,-0.004,0.965
298,0.336,-0.320,1.258
299,0.242,-0.242,0.922
300,0.168,0.059,0.883
301,-0.227,0.000,0.898
302,-0.344,-0.105,0.891
303,-0.406,-0.113,0.898
304,-0.273,0.270,0.828
305,0.121,0.070,0.840
306,0.547,-0.281,1.109
307,0.719,-0.242,1.090
308,0.250,0.043,1.031
309,-0.051,0.102,0.941
310,-0.297,0.090,1.078
311,-0.652,0.281,0.969
312,-0.352,0.117,0.926
313,0.348,-0.090,1.227
314,0.879,-0.137,1.031
315,0.414,-0.152,1.359
316,0.059,0.094,0.969
317,-0.246,0.109,0.918
318,-0.441,0.059,1.055
319,-0.438,0.047,0.977
320,-0.121,0.047,0.914
321,0.203,-0.133,0.992
322,0.406,-0.211,0.992
323,0.078,-0.043,0.922
324,0.008,-0.008,0.742
325,-0.113,-0.121,0.926
326,-0.395,0.102,0.938
327,-0.320,0.059,0.871
328,-0.004,-0.016,0.922
329,0.199,-0.082,0.965
330,0.223,-0.094,1.059
331,0.465,-0.184,1.156
332,0.277,-0.070,1.086
333,-0.207,0.117,1.059
334,-0.453,0.004,1.113
335,-0.270,0.027,1.078
336,-0.168,0.000,1.016
337,-0.008,0.125,1.043
338,0.352,-0.008,1.133
339,0.289,-0.254,1.234
340,0.137,-0.145,1.059
341,-0.164,0.051,0.926
342,-0.410,0.117,0.879
343,-0.348,-0.047,0.723
344,-0.109,-0.082,0.844
345,-0.027,-0.094,0.832
346,0.242,-0.086,0.930
347,0.406,-0.129,0.906
348,0.191,-0.055,0.906
349,-0.082,-0.090,0.930
350,-0.250,-0.039,0.992
351,-0.320,0.125,0.941
352,-0.230,0.129,0.973
353,0.137,-0.195,1.160
354,0.363,-0.086,1.207
355,0.398,0.051,1.121
356,0.137,-0.074,1.180
357,-0.160,0.035,1.168
358,-0.270,-0.066,1.156
359,-0.180,-0.047,1.113
360,-0.066,-0.090,0.977
361,-0.109,0.020,0.906
362,0.203,-0.070,0.926
363,0.215,-0.230,0.949
364,0.129,-0.102,0.844
365,-0.055,-0.059,0.824
366,-0.164,-0.004,0.863
367,-0.156,-0.188,0.742
368,-0.207,-0.047,0.930
369,-0.207,0.043,0.863
370,-0.047,0.039,0.906
371,0.293,-0.133,1.023
372,0.434,-0.242,1.164
373,0.062,0.059,1.109
374,-0.375,0.172,1.020
375,-0.461,0.027,1.141
376,-0.340,0.066,1.152
377,-0.168,0.109,1.086
378,0.258,-0.121,1.113
379,0.434,-0.156,1.203
380,0.051,-0.016,1.066
381,-0.410,0.137,0.945
382,-0.504,-0.004,1.047
383,-0.426,0.027,0.879
384,-0.008,-0.039,0.879
385,0.281,-0.086,0.887
386,0.383,-0.141,0.918
387,0.355,-0.242,0.949
388,0.250,-0.070,0.918
389,-0.059,-0.082,0.926
390,-0.312,-0.137,0.852
391,-0.480,-0.020,0.930
392,-0.129,-0.043,0.883
393,0.172,-0.145,1.008
394,0.398,-0.156,1.031
395,0.316,-0.148,1.195
396,0.043,-0.051,1.082
397,-0.066,0.031,0.984
398,-0.137,-0.062,1.125
399,-0.121,0.043,0.941
400,-0.293,0.043,1.113
401,-0.395,0.215,0.930
402,-0.145,0.055,1.043
403,0.227,-0.168,1.145
404,0.309,-0.078,0.973
405,0.109,-0.043,0.891
406,-0.375,-0.070,1.000
407,-0.781,0.074,0.883
408,-0.695,0.098,0.879
409,-0.348,-0.109,0.996
410,0.199,-0.207,0.898
411,0.449,-0.230,1.113
412,0.484,-0.305,1.176
413,0.332,-0.238,0.996
414,-0.324,0.082,0.891
415,-0.574,0.164,0.828
416,-0.266,-0.059,1.020
417,0.090,-0.129,0.906
418,0.191,-0.098,0.980
419,0.367,-0.051,1.133
420,0.215,-0.078,1.004
421,0.035,-0.004,0.941
422,-0.062,-0.027,1.000
423,-0.328,0.141,1.059
424,-0.199,0.098,0.816
425,0.062,-0.133,1.070
426,0.195,-0.176,1.156
427,0.164,0.047,0.852
428,0.031,-0.027,1.047
429,-0.141,0.016,0.984
430,-0.375,0.129,1.047
431,-0.105,-0.031,0.980
432,0.012,-0.078,1.184
433,-0.137,0.059,0.914
434,-0.176,0.012,0.957
435,0.188,-0.105,1.020
436,0.125,-0.117,0.984
437,0.051,-0.043,1.008
438,-0.012,-0.062,1.035
439,-0.391,-0.047,1.020
440,-0.496,-0.023,0.875
441,-0.301,0.055,0.906
442,-0.023,-0.039,0.965
443,0.301,-0.277,0.957
444,0.492,-0.113,0.980
445,0.172,-0.055,0.992
446,-0.281,-0.062,0.934
447,-0.395,0.031,0.887
448,-0.227,0.004,0.883
449,-0.141,-0.012,1.004
450,-0.113,0.012,1.070
451,0.336,-0.094,1.078
452,0.363,-0.086,1.172
453,0.035,0.191,1.020
