Sample,X,Y,Z
0,0.031,-0.020,0.695
1,-0.016,-0.008,0.996
2,-0.016,-0.008,0.996
3,-0.016,-0.027,0.996
4,-0.020,-0.012,0.992
5,-0.016,-0.016,0.996
6,-0.012,-0.016,0.992
7,-0.008,-0.012,0.992
8,-0.008,-0.016,0.996
9,-0.020,-0.008,0.988
10,-0.008,-0.016,0.996
11,-0.023,-0.012,0.992
12,-0.008,-0.008,0.984
13,-0.012,-0.016,0.996
14,-0.020,-0.020,0.996
15,-0.012,-0.012,0.980
16,-0.004,-0.012,0.992
17,-0.004,-0.008,0.988
18,-0.008,-0.016,0.984
19,-0.016,-0.004,0.992
20,-0.016,-0.020,0.988
21,-0.012,-0.008,0.996
22,-0.012,-0.016,0.996
23,-0.012,-0.020,0.988
24,-0.012,-0.020,0.996
25,-0.020,-0.023,0.996
26,-0.016,-0.004,0.992
27,-0.016,-0.031,1.000
28,-0.004,-0.004,0.996
29,0.000,-0.016,0.980
30,-0.027,-0.008,0.988
31,-0.016,-0.016,0.988
32,-0.012,-0.016,0.984
33,-0.012,-0.012,0.984
34,-0.012,-0.027,1.008
35,-0.012,-0.020,0.996
36,-0.008,-0.020,0.988
37,-0.016,-0.016,0.992
38,-0.016,-0.012,0.992
39,-0.004,-0.020,0.992
40,-0.012,-0.012,0.984
41,-0.008,-0.012,0.984
42,-0.012,-0.016,0.988
43,-0.012,-0.020,0.992
44,-0.012,-0.016,0.992
45,-0.016,-0.016,0.992
46,-0.016,-0.016,0.996
47,-0.008,-0.012,0.992
48,-0.008,-0.043,0.992
49,-0.004,-0.008,0.996
50,-0.004,-0.008,0.996
51,-0.004,-0.023,0.992
52,-0.016,-0.008,0.996
53,-0.012,-0.020,0.984
54,-0.023,-0.004,0.988
55,-0.016,-0.012,0.992
56,-0.004,-0.012,0.996
57,-0.004,-0.016,0.996
58,-0.020,-0.016,0.988
59,-0.008,-0.020,0.992
60,-0.004,-0.012,0.980
61,-0.004,-0.008,0.988
62,-0.008,-0.004,0.988
63,-0.012,-0.012,0.992
64,-0.012,-0.012,0.980
65,-0.012,-0.008,0.984
66,-0.012,-0.016,0.996
67,-0.008,-0.012,1.004
68,0.000,-0.012,0.992
69,-0.012,-0.004,0.992
