Sample,X,Y,Z
0,-0.016,-0.016,0.992
1,-0.008,-0.008,0.992
2,-0.004,-0.008,0.988
3,-0.008,-0.004,0.988
4,-0.004,-0.012,0.996
5,-0.008,-0.012,0.992
6,-0.016,-0.008,0.996
7,-0.004,-0.004,0.996
8,-0.012,-0.008,0.996
9,-0.016,-0.004,0.996
10,-0.027,-0.004,0.992
11,-0.016,-0.004,1.000
12,-0.008,-0.004,0.988
13,-0.008,-0.012,1.004
14,-0.004,-0.008,0.992
15,-0.020,-0.020,1.000
16,-0.016,-0.004,0.980
17,-0.004,-0.020,0.984
18,-0.004,-0.008,0.988
19,-0.004,-0.008,0.988
20,-0.008,-0.012,0.992
21,-0.027,0.000,0.996
22,-0.020,-0.012,0.996
23,-0.008,0.004,0.996
24,-0.016,-0.039,0.992
25,-0.012,0.000,0.996
26,-0.016,-0.016,0.984
27,-0.027,0.000,0.996
28,-0.008,-0.008,0.992
29,-0.012,-0.008,0.980
30,-0.008,-0.012,0.984
31,-0.020,-0.004,0.988
32,-0.016,-0.004,0.984
33,-0.016,-0.012,0.988
34,-0.008,0.000,0.980
35,0.000,-0.008,0.992
36,-0.020,-0.012,0.988
37,-0.020,-0.004,0.988
38,-0.020,-0.016,0.992
39,-0.023,-0.008,0.992
40,-0.008,-0.004,0.992
41,-0.020,-0.008,0.988
42,-0.012,-0.008,0.992
43,-0.008,-0.020,0.996
44,-0.016,-0.008,0.988
45,-0.008,-0.008,0.992
46,-0.008,0.000,0.984
47,-0.008,0.000,0.996
48,-0.023,-0.008,0.992
49,-0.020,-0.004,0.980
50,-0.020,-0.004,0.980
51,-0.012,-0.023,0.996
52,-0.004,0.008,0.988
53,-0.016,0.020,0.988
54,-0.012,0.000,0.992
55,-0.016,0.000,0.988
56,0.004,-0.004,0.992
57,0.000,-0.008,0.992
58,-0.012,-0.004,0.992
59,-0.027,-0.008,0.984
60,-0.016,-0.008,0.988
61,-0.012,-0.004,0.988
62,-0.008,0.000,0.992
63,-0.008,-0.004,0.992
64,-0.016,-0.012,0.988
65,-0.020,-0.004,0.992
66,-0.008,-0.004,0.988
67,-0.020,-0.004,1.000
68,-0.012,0.000,0.996
69,-0.008,-0.008,0.996
70,-0.016,0.000,0.996
71,-0.016,-0.008,0.996
72,-0.016,-0.008,0.984
73,-0.008,-0.016,0.992
74,-0.016,-0.004,0.984
75,-0.012,-0.043,0.996
76,-0.027,0.012,0.996
77,-0.016,0.016,0.992
78,-0.008,-0.012,0.996
79,-0.012,0.004,0.992
80,-0.016,-0.020,0.996
81,-0.012,-0.016,0.992
82,-0.012,-0.008,0.988
83,-0.008,-0.020,0.988
84,-0.016,-0.008,0.992
85,-0.016,-0.008,0.988
86,-0.016,0.000,0.992
87,-0.012,-0.004,0.988
88,-0.008,0.000,0.996
89,-0.012,-0.004,0.984
90,-0.020,-0.004,1.000
91,-0.027,-0.004,1.051
92,-0.047,0.078,1.074
93,-0.414,0.113,1.129
94,-1.297,-0.180,1.027
95,-1.898,-0.234,0.734
96,-1.824,-0.332,0.762
97,-1.117,-0.176,0.762
98,-0.723,0.055,0.926
99,-0.711,0.207,1.016
100,-1.715,0.113,1.039
101,-1.992,0.070,0.996
102,-1.992,-0.070,1.020
103,-1.273,-0.012,1.211
104,0.332,0.195,1.105
105,0.910,0.270,1.156
106,0.160,0.441,0.840
107,-1.375,0.027,0.832
108,-1.938,-0.414,1.105
109,-1.156,-0.355,1.301
110,0.426,0.188,1.316
111,0.859,0.395,1.043
112,0.008,-0.074,1.023
113,-1.137,-0.395,0.832
114,-1.621,-0.207,0.504
115,-0.934,-0.387,0.836
116,-0.105,-0.094,0.832
117,-0.316,0.258,0.648
118,-1.109,0.000,0.836
119,-1.918,-0.266,0.816
120,-1.855,-0.160,0.953
121,-0.621,0.020,1.230
122,0.062,0.488,1.219
123,-0.527,0.262,1.227
124,-1.695,0.070,0.965
125,-1.980,0.012,0.965
126,-1.312,-0.160,1.266
127,-0.129,0.133,1.270
128,0.461,0.355,1.320
129,-0.207,0.082,1.285
130,-1.129,0.047,1.066
131,-1.309,-0.125,0.930
132,-0.754,-0.141,0.914
133,0.168,-0.051,0.766
134,0.777,-0.137,0.797
135,0.500,0.047,0.625
136,0.059,-0.148,0.531
137,-0.184,-0.434,0.664
138,-0.180,-0.309,0.852
139,0.512,-0.129,0.930
140,0.559,-0.070,0.883
141,0.840,0.074,1.020
142,0.848,0.125,1.004
143,0.633,0.254,1.164
144,0.445,0.039,1.293
145,-0.078,0.008,1.484
146,-0.328,0.230,1.383
147,-0.598,0.137,1.297
148,-0.426,0.020,1.340
149,-0.113,0.074,1.148
150,0.211,0.086,1.074
151,0.016,-0.047,0.832
152,-0.301,-0.004,0.652
153,-0.293,0.129,0.711
154,-0.418,0.066,0.648
155,-0.484,-0.172,0.762
156,-0.566,-0.184,0.895
157,-0.230,0.023,0.754
158,-0.309,0.035,0.746
159,-0.422,-0.258,0.898
160,0.094,-0.113,0.879
161,0.203,-0.043,1.004
162,0.156,-0.211,1.102
163,0.164,-0.172,1.109
164,0.188,-0.004,1.082
165,0.117,0.156,1.078
166,0.023,-0.082,1.109
167,0.152,-0.043,1.281
168,0.316,0.215,1.172
169,0.285,0.113,1.223
170,0.027,0.012,1.180
171,-0.184,0.043,1.078
172,0.035,0.141,1.016
173,0.305,0.141,0.914
174,0.215,0.062,1.012
175,-0.160,0.105,0.812
176,-0.562,-0.160,0.723
177,-0.469,-0.145,0.727
178,-0.074,-0.070,0.801
179,0.121,-0.004,0.750
180,0.137,-0.156,0.980
181,-0.133,-0.137,0.973
182,-0.590,-0.008,0.969
183,-0.449,-0.039,1.082
184,-0.312,0.004,1.164
185,-0.191,0.121,1.234
186,0.004,0.078,1.160
187,-0.133,-0.145,1.191
188,-0.199,0.035,0.980
189,-0.230,0.121,0.863
190,-0.035,-0.059,0.941
191,0.094,-0.172,1.012
192,0.070,-0.023,0.961
193,0.043,-0.105,1.031
194,0.152,-0.020,0.844
195,0.164,0.156,0.816
196,0.324,0.117,0.867
197,0.258,-0.051,0.969
198,0.051,-0.031,1.090
199,-0.043,0.047,1.055
200,-0.141,0.043,0.984
201,0.086,0.047,1.027
202,0.305,0.141,0.969
203,0.160,-0.012,1.082
204,0.020,-0.172,1.238
205,-0.051,-0.078,1.020
206,-0.223,0.121,1.020
207,-0.156,0.059,0.883
208,-0.102,-0.086,1.043
209,-0.141,0.031,1.098
210,-0.090,0.027,1.055
211,-0.156,-0.094,1.168
212,-0.258,-0.023,0.980
213,-0.234,0.012,0.848
214,-0.273,-0.137,0.852
215,-0.043,-0.113,0.812
216,0.086,-0.039,0.750
217,-0.059,-0.074,0.785
218,-0.059,-0.074,0.785
219,0.086,-0.051,0.828
220,-0.043,-0.008,0.852
221,-0.086,-0.047,1.035
222,0.160,-0.117,1.066
223,0.164,-0.066,1.172
224,0.027,0.113,1.059
225,-0.027,0.035,0.961
226,0.113,-0.043,1.176
227,0.227,0.074,1.152
228,0.246,0.184,1.102
229,0.246,-0.016,1.246
230,0.070,0.020,1.051
231,-0.051,0.137,1.051
232,0.062,0.012,0.875
233,0.035,-0.129,0.973
234,0.066,-0.043,0.984
235,-0.023,-0.078,0.859
236,-0.094,-0.156,0.930
237,-0.227,-0.117,0.832
238,-0.203,-0.047,0.820
239,0.102,-0.023,0.898
240,0.246,0.016,0.891
241,0.016,0.031,0.902
242,-0.359,0.059,0.902
243,-0.547,-0.094,0.977
244,-0.508,-0.086,1.039
245,-0.023,0.055,1.145
246,0.254,0.098,1.102
247,0.207,-0.047,1.199
248,-0.008,0.102,1.078
249,0.016,0.102,1.020
250,0.125,0.047,1.098
251,-0.066,0.039,1.094
252,0.008,0.027,1.109
253,-0.047,0.031,1.062
254,-0.086,0.000,0.941
255,0.102,-0.012,0.887
256,0.289,0.043,0.848
257,0.422,-0.047,0.957
258,0.262,-0.051,0.930
259,0.074,-0.098,0.832
260,0.062,0.027,0.891
261,0.086,-0.012,0.855
262,0.004,-0.043,0.879
263,-0.152,-0.121,1.148
264,-0.027,-0.004,0.988
265,-0.117,-0.055,1.035
266,0.000,0.000,1.047
267,0.070,0.012,0.973
268,-0.023,0.031,1.102
269,-0.137,-0.082,1.207
270,-0.086,-0.008,1.145
271,0.004,0.113,1.020
272,-0.031,0.148,0.938
273,-0.160,-0.008,1.012
274,-0.043,-0.055,1.000
275,-0.016,0.020,1.000
276,-0.133,-0.055,0.949
277,-0.004,-0.070,0.922
278,0.074,0.031,0.863
279,0.105,-0.039,0.883
280,0.297,-0.094,0.957
281,0.223,-0.047,0.922
282,0.191,-0.008,0.965
283,0.184,-0.004,0.871
284,0.016,0.008,0.879
285,0.047,0.039,0.973
286,0.008,-0.074,1.062
287,0.035,-0.102,1.227
288,0.117,0.094,1.098
289,0.027,0.047,1.020
