Sample,X,Y,Z
0,-0.020,0.012,0.988
1,-0.020,0.012,0.988
2,-0.020,0.020,0.980
3,-0.004,0.004,0.984
4,-0.012,0.023,0.977
5,-0.020,0.023,0.980
6,-0.031,-0.004,0.996
7,-0.012,0.000,0.988
8,-0.020,0.004,0.984
9,-0.016,0.008,0.984
10,-0.023,0.012,0.984
11,-0.031,0.004,0.984
12,-0.012,0.008,0.988
13,-0.020,0.023,0.980
14,-0.012,0.016,0.988
15,-0.008,0.016,0.988
16,-0.008,0.012,0.973
17,-0.016,0.027,0.984
18,-0.012,0.004,0.984
19,-0.012,0.020,0.988
20,-0.020,0.008,0.992
21,-0.020,0.004,0.988
22,-0.016,-0.004,0.984
23,-0.008,0.008,0.984
24,-0.031,-0.023,0.988
25,-0.016,-0.012,0.980
26,-0.004,0.012,0.988
27,-0.016,0.008,0.988
28,-0.020,0.027,0.969
29,0.004,0.020,1.004
30,-0.008,0.016,0.980
31,-0.012,0.008,0.980
32,-0.012,0.016,0.992
33,-0.012,0.008,0.984
34,-0.008,0.016,0.980
35,-0.016,0.004,0.984
36,-0.012,-0.004,0.988
37,-0.012,0.000,0.980
38,-0.012,0.008,0.984
39,-0.020,0.016,0.980
40,-0.012,0.020,0.984
41,-0.016,0.008,1.000
42,-0.020,0.016,0.988
43,-0.008,0.008,0.980
44,-0.008,0.016,0.984
45,0.000,0.012,0.980
46,-0.004,0.012,0.984
47,-0.020,0.004,0.980
48,-0.023,0.016,0.980
49,-0.016,-0.008,0.973
50,-0.004,0.000,0.988
51,-0.008,0.027,0.992
52,-0.020,-0.008,0.984
53,-0.016,0.000,0.980
54,-0.020,0.008,0.984
55,-0.008,0.004,0.984
56,-0.008,0.008,0.984
57,-0.008,0.008,0.988
58,-0.020,0.008,0.977
59,-0.004,0.012,0.984
60,-0.004,0.016,0.977
61,-0.004,0.012,0.984
62,-0.012,-0.008,0.980
63,-0.012,-0.004,0.984
64,-0.012,0.000,0.992
65,-0.008,0.004,0.988
66,-0.008,0.004,0.980
67,-0.020,-0.008,1.000
68,-0.008,-0.004,0.988
69,-0.016,0.008,0.980
70,0.000,0.008,0.977
71,0.000,0.004,0.984
72,-0.012,0.000,0.988
73,-0.016,0.004,0.988
74,-0.004,0.047,0.977
75,-0.016,0.004,0.973
76,-0.020,-0.023,0.977
77,-0.008,-0.012,0.973
78,-0.016,0.016,0.984
79,-0.016,0.004,0.984
80,-0.027,0.000,0.980
81,-0.016,0.004,0.980
82,-0.012,0.004,0.984
83,-0.012,0.012,0.988
84,-0.016,0.012,0.984
85,-0.008,0.000,0.980
86,0.004,-0.004,0.984
87,0.000,0.008,0.980
88,-0.004,0.004,0.984
89,-0.008,0.000,0.977
90,-0.020,0.004,0.984
91,0.027,0.008,1.027
92,0.133,0.062,1.012
93,0.051,0.090,0.957
94,-0.355,-0.012,1.004
95,-0.652,-0.090,1.000
