Sample,X,Y,Z
0,-0.012,-0.059,0.754
1,-0.027,-0.031,0.988
2,-0.023,-0.027,0.996
3,-0.020,-0.031,0.992
4,-0.012,-0.031,0.996
5,-0.016,-0.039,0.996
6,-0.008,-0.031,0.992
7,-0.027,-0.031,1.000
8,-0.020,-0.035,0.996
9,-0.012,-0.035,0.988
10,-0.027,-0.047,0.992
11,-0.016,-0.039,1.004
12,-0.016,-0.039,1.000
13,-0.020,-0.047,0.988
14,-0.020,-0.047,1.000
15,-0.020,-0.047,0.992
16,-0.016,-0.035,0.988
17,-0.016,-0.027,0.992
18,-0.016,-0.039,1.000
19,-0.016,-0.035,1.000
20,-0.023,-0.043,0.996
21,-0.016,-0.047,1.000
22,-0.020,-0.039,1.004
23,-0.020,-0.031,0.996
24,-0.012,-0.051,1.004
25,-0.016,-0.035,0.996
26,-0.008,-0.031,0.992
27,-0.027,-0.066,0.996
28,-0.023,-0.027,0.988
29,-0.023,-0.062,0.992
30,-0.008,-0.035,0.992
31,-0.012,-0.043,0.996
32,-0.020,-0.031,0.992
33,-0.020,-0.031,0.988
34,-0.008,-0.039,0.988
35,-0.008,-0.039,0.996
36,-0.008,-0.035,0.992
37,-0.027,-0.035,0.992
38,-0.023,-0.031,0.996
39,-0.020,-0.039,0.992
40,-0.004,-0.043,1.000
41,-0.016,-0.043,1.000
42,-0.023,-0.035,0.992
43,-0.020,-0.047,0.996
44,-0.016,-0.035,0.996
45,-0.012,-0.039,0.996
46,-0.016,-0.039,0.988
47,-0.016,-0.035,0.996
48,-0.008,-0.055,1.000
49,-0.020,-0.020,0.992
50,-0.008,-0.043,0.996
51,-0.016,-0.035,1.000
52,-0.027,-0.027,1.000
53,-0.020,-0.031,1.000
54,-0.016,-0.043,1.000
55,-0.020,-0.031,1.000
56,-0.012,-0.027,0.996
57,-0.016,-0.039,1.000
58,-0.016,-0.035,1.000
59,-0.023,-0.039,0.988
60,-0.012,-0.031,0.996
61,-0.004,-0.039,1.004
62,-0.008,-0.039,0.996
63,-0.027,-0.039,1.004
64,-0.016,-0.031,0.988
65,-0.020,-0.031,1.000
66,-0.012,-0.027,1.000
67,-0.012,-0.023,0.996
68,-0.020,-0.023,1.000
69,-0.023,-0.031,1.000
70,-0.023,-0.023,0.992
71,-0.016,-0.035,1.004
72,-0.020,-0.043,1.004
73,-0.004,-0.055,1.000
74,-0.016,-0.027,0.996
75,-0.023,-0.020,0.996
76,-0.004,-0.027,0.996
77,0.000,-0.023,0.996
78,-0.016,-0.031,0.996
79,-0.016,-0.035,1.000
80,-0.016,-0.027,0.996
81,-0.016,-0.027,0.992
82,-0.020,-0.031,0.992
83,-0.020,-0.031,0.988
84,-0.016,-0.031,1.000
85,-0.027,-0.027,0.992
86,-0.023,-0.035,1.004
