Sample,X,Y,Z
0,-0.008,0.000,1.000
1,-0.008,0.000,0.996
2,0.000,0.004,0.988
3,-0.004,0.012,1.000
4,-0.004,-0.008,1.008
5,0.000,-0.016,1.000
6,-0.008,0.000,1.000
7,-0.004,-0.004,0.996
8,-0.004,0.004,0.996
9,-0.008,0.000,0.992
10,-0.004,-0.004,1.000
11,-0.004,-0.016,0.996
12,-0.004,-0.016,0.992
13,0.004,-0.004,1.000
14,0.008,-0.016,0.996
15,0.000,-0.016,0.988
16,0.004,-0.012,0.992
17,-0.008,-0.004,0.992
18,0.000,-0.012,1.000
19,-0.004,-0.012,0.988
20,0.004,-0.008,0.988
21,-0.004,-0.016,0.992
22,-0.008,-0.008,0.992
23,-0.004,-0.008,0.992
24,0.000,-0.027,0.992
25,-0.016,0.008,0.996
26,-0.008,-0.012,0.984
27,0.000,-0.016,0.984
28,-0.004,-0.012,0.996
29,0.000,-0.008,0.992
30,-0.008,0.004,0.992
31,-0.012,-0.004,0.984
32,-0.008,-0.004,0.992
33,-0.008,-0.016,0.988
34,0.000,-0.008,0.996
35,-0.004,-0.004,0.992
36,0.004,0.008,0.992
37,0.004,0.008,0.984
38,-0.004,0.004,0.984
39,-0.008,0.000,0.984
40,-0.004,0.000,0.984
41,-0.004,-0.004,0.984
42,0.000,-0.004,0.980
43,-0.008,0.004,0.984
44,-0.004,-0.008,0.984
45,-0.004,0.004,0.980
46,-0.004,0.012,0.992
47,-0.004,0.000,0.984
48,-0.008,-0.016,0.984
49,0.000,0.016,0.984
50,-0.012,0.020,0.992
51,-0.012,0.012,0.984
52,-0.016,-0.004,0.984
53,-0.012,0.027,0.984
54,0.000,0.023,0.992
55,-0.008,0.016,0.992
56,-0.012,0.016,0.992
57,-0.008,0.000,0.988
58,-0.008,0.004,0.988
59,0.000,0.004,0.988
60,-0.008,0.000,0.996
61,-0.004,0.008,0.988
62,0.000,0.004,0.992
63,-0.004,0.008,0.996
64,0.000,0.004,0.984
65,-0.004,0.000,0.984
66,0.004,0.000,0.992
67,0.004,0.000,0.988
68,0.000,-0.012,0.996
69,-0.004,0.004,0.984
70,0.004,-0.004,0.992
71,0.008,-0.004,1.000
72,-0.004,-0.035,0.996
73,-0.004,0.000,1.004
74,0.000,0.031,1.000
75,-0.004,-0.008,0.992
76,-0.004,0.000,0.992
77,0.008,-0.016,1.000
78,-0.004,0.004,1.000
79,-0.004,0.000,1.000
80,-0.004,0.000,1.004
81,0.000,-0.008,0.996
82,0.000,0.000,1.000
83,-0.004,-0.012,1.008
84,-0.008,-0.004,0.996
85,-0.008,-0.004,0.996
86,-0.008,-0.008,1.012
87,0.000,-0.004,1.000
88,0.000,-0.008,1.004
89,-0.012,-0.008,0.996
90,-0.012,0.000,0.996
91,-0.012,0.004,0.992
92,0.000,0.023,0.988
93,0.004,0.035,0.984
94,0.012,0.031,1.000
95,0.039,-0.016,1.016
96,0.051,-0.047,1.023
97,0.031,-0.059,1.020
98,0.004,-0.051,0.980
99,-0.055,-0.016,0.961
100,-0.070,0.047,0.957
101,-0.055,0.023,0.953
102,-0.016,-0.012,0.988
103,0.027,-0.035,1.008
104,0.043,-0.074,1.016
105,0.051,-0.016,0.980
106,0.016,0.031,0.926
107,-0.016,0.035,0.965
108,-0.051,0.023,0.984
109,-0.086,0.027,0.977
110,-0.051,-0.020,1.066
111,0.027,0.062,1.000
112,0.055,0.070,1.004
113,0.035,0.047,1.016
114,-0.078,-0.031,1.000
115,-0.117,-0.102,1.051
116,-0.027,-0.066,1.027
117,0.039,0.051,0.961
118,0.066,0.086,0.961
119,-0.008,0.020,0.996
120,-0.109,-0.039,0.969
121,-0.094,-0.051,0.980
122,-0.094,-0.051,0.980
123,0.098,-0.051,0.977
124,0.195,0.055,0.898
125,0.145,0.098,0.895
126,-0.035,0.016,0.977
127,-0.238,-0.078,0.969
128,-0.148,-0.082,1.031
129,0.125,0.062,0.992
130,0.188,0.070,0.984
131,0.086,0.055,1.004
132,-0.137,-0.062,1.012
133,-0.258,-0.141,1.035
134,-0.062,-0.055,1.035
135,0.223,0.094,0.977
136,0.293,0.141,0.973
137,0.012,0.047,0.984
138,-0.266,-0.066,1.000
139,-0.309,-0.047,0.988
140,-0.086,0.059,0.957
141,0.199,0.137,0.965
142,0.230,0.121,0.961
143,0.008,-0.035,1.027
144,-0.199,-0.121,1.070
145,-0.141,-0.070,1.023
146,0.113,0.074,0.973
147,0.211,0.188,0.977
148,0.055,0.059,0.965
149,-0.180,-0.078,1.004
150,-0.270,-0.145,1.031
151,-0.062,-0.055,1.000
152,0.191,0.023,0.973
153,0.266,0.062,0.922
154,0.070,-0.039,0.957
155,-0.168,-0.125,1.012
156,-0.207,-0.074,0.980
157,-0.020,0.023,0.949
158,0.156,0.109,0.949
159,0.113,0.082,0.938
160,-0.086,-0.023,1.012
161,-0.207,-0.109,1.055
162,-0.133,-0.031,1.031
163,0.055,0.059,1.027
164,0.145,0.102,1.004
165,0.031,0.043,1.012
166,-0.156,-0.031,1.059
167,-0.211,-0.062,1.055
168,-0.082,-0.008,1.027
169,0.102,0.020,0.988
170,0.105,0.098,0.953
171,-0.016,-0.031,0.977
172,-0.145,-0.078,1.000
173,-0.125,-0.082,0.984
174,0.020,-0.004,0.988
175,0.133,0.047,0.969
176,0.090,0.023,0.961
177,-0.051,-0.023,0.996
178,-0.137,-0.074,1.012
179,-0.109,-0.039,0.984
180,0.008,0.012,0.973
181,0.082,0.031,0.969
182,0.039,0.016,0.965
183,-0.059,-0.035,1.016
184,-0.105,-0.047,1.016
185,-0.055,0.000,1.004
186,0.020,0.043,0.992
187,0.031,0.062,0.973
188,-0.043,0.023,0.977
189,-0.094,-0.020,1.012
190,-0.078,-0.008,0.992
191,0.008,0.004,0.996
192,0.043,0.059,0.984
193,0.043,0.031,0.996
194,-0.047,-0.020,1.004
195,-0.117,-0.027,1.008
196,-0.090,-0.020,1.023
197,-0.008,0.020,0.984
198,0.066,0.000,0.996
199,0.074,0.008,0.984
200,0.012,-0.023,0.977
201,-0.035,-0.027,0.984
202,-0.012,-0.016,0.965
203,0.020,0.008,0.961
204,0.035,0.031,0.965
205,-0.012,0.016,0.973
206,-0.062,-0.012,0.992
207,-0.059,-0.039,1.008
208,0.031,-0.012,1.000
209,0.078,0.008,0.984
210,0.082,0.020,0.980
211,-0.008,0.035,0.957
212,-0.066,0.008,0.988
213,-0.070,0.023,0.984
214,-0.039,0.020,0.984
215,0.012,0.027,1.000
216,0.000,0.035,0.992
217,-0.027,0.027,1.012
218,-0.039,-0.016,0.992
219,-0.023,-0.016,1.012
220,0.043,-0.023,1.004
221,0.047,-0.016,0.996
222,0.016,0.031,1.008
223,-0.035,0.023,0.988
224,-0.047,0.008,0.984
225,-0.043,-0.020,1.000
226,0.016,-0.008,0.992
227,0.043,-0.004,0.992
228,0.078,0.000,0.992
229,0.012,0.000,0.969
230,-0.012,-0.008,0.984
231,0.000,-0.020,0.992
232,0.012,-0.012,0.980
233,0.039,0.016,0.984
234,0.020,0.035,0.961
235,-0.035,0.031,0.973
236,-0.090,0.012,0.988
237,-0.066,-0.020,1.020
238,0.012,-0.016,1.035
239,0.074,0.000,1.031
240,0.094,0.047,1.004
241,0.016,0.020,1.000
242,-0.074,0.027,1.016
243,-0.098,-0.004,0.988
244,-0.023,0.027,0.977
245,0.027,0.059,0.988
246,0.039,0.016,0.992
247,-0.016,-0.031,0.984
248,-0.047,-0.055,0.992
249,-0.012,-0.043,0.988
250,0.059,0.004,0.969
251,0.090,0.020,0.988
252,0.047,0.012,0.988
253,-0.043,-0.043,1.016
254,-0.082,-0.055,1.016
255,-0.016,-0.004,0.988
256,0.047,0.023,0.984
257,0.074,0.023,0.992
258,0.016,0.000,0.996
259,-0.020,-0.043,1.020
260,-0.039,-0.023,1.012
261,-0.004,0.004,0.996
262,0.035,0.062,0.973
263,0.008,0.039,0.965
264,-0.039,-0.012,1.004
265,-0.055,-0.047,0.988
266,-0.008,-0.012,0.988
267,0.035,0.059,0.973
268,0.023,0.016,0.980
269,-0.043,0.004,1.008
270,-0.066,-0.039,1.023
271,-0.043,-0.043,1.023
272,0.051,0.004,1.016
273,0.102,0.047,0.984
274,0.016,0.039,0.977
275,-0.074,-0.023,1.012
276,-0.074,-0.055,1.004
277,-0.020,-0.031,0.988
278,0.082,0.000,0.992
279,0.102,0.020,0.965
280,0.020,-0.016,0.977
281,-0.051,-0.031,0.984
282,-0.078,-0.047,0.984
283,-0.012,-0.027,0.984
284,0.074,0.027,0.977
285,0.070,0.023,0.973
286,0.012,0.000,0.977
287,-0.051,-0.008,0.992
288,-0.031,0.043,0.988
289,0.008,0.051,0.977
290,0.039,0.047,1.012
291,-0.016,0.004,1.012
292,-0.055,0.039,1.008
293,-0.082,0.000,1.012
294,-0.008,-0.008,1.012
295,0.062,0.004,0.984
296,0.082,0.016,0.984
297,0.031,-0.016,0.988
298,-0.020,-0.027,0.973
299,-0.027,0.008,0.973
300,-0.012,0.008,0.957
301,0.008,0.000,0.969
302,0.047,0.012,0.980
303,0.035,0.008,0.973
304,-0.008,-0.008,0.992
305,0.008,-0.004,0.984
306,0.023,0.004,0.980
307,0.031,0.004,0.988
308,0.023,0.012,0.992
309,0.016,0.004,0.992
310,-0.012,-0.008,1.008
311,-0.047,-0.004,0.996
312,-0.047,-0.020,1.004
313,0.027,0.004,0.996
314,0.016,0.020,1.004
315,0.047,0.031,1.004
316,0.004,-0.047,0.973
317,-0.012,0.023,0.988
318,0.000,0.004,0.977
319,-0.008,0.020,0.965
320,0.020,0.035,0.977
321,0.000,0.020,0.984
322,-0.043,-0.008,1.004
323,-0.031,-0.012,1.012
324,0.008,-0.016,1.008
325,0.055,0.012,1.004
326,0.051,0.000,1.020
327,0.016,-0.023,1.016
328,-0.012,-0.043,1.016
329,-0.031,-0.020,0.992
330,-0.016,0.016,0.988
331,-0.004,0.020,0.977
332,-0.016,0.004,0.984
333,-0.016,-0.027,0.988
334,-0.020,-0.039,0.996
335,0.031,0.004,0.984
336,0.023,0.035,0.977
337,0.000,0.066,0.973
338,-0.051,-0.023,1.000
339,-0.066,0.000,1.004
340,-0.047,-0.023,0.988
341,0.000,0.047,0.980
342,0.008,0.031,0.996
343,-0.031,-0.012,1.008
344,-0.070,-0.023,1.012
345,-0.059,-0.055,1.012
346,0.000,-0.031,1.008
347,0.035,-0.004,0.992
348,0.023,0.004,0.977
349,-0.043,-0.004,0.977
350,-0.070,-0.020,0.980
351,-0.031,-0.023,0.984
352,0.016,0.004,0.973
353,0.031,-0.004,0.977
354,0.000,-0.004,0.977
355,-0.039,-0.016,0.988
356,-0.035,-0.004,0.988
357,0.000,-0.004,0.992
358,0.012,-0.008,0.996
359,-0.008,-0.020,0.996
360,-0.043,0.008,0.996
361,-0.055,-0.012,1.000
362,-0.008,-0.035,0.977
363,0.004,-0.012,0.969
364,0.012,0.008,0.977
365,-0.012,0.004,0.992
366,-0.027,0.008,0.988
367,-0.031,0.008,1.000
368,-0.047,0.020,0.977
369,-0.027,0.000,0.984
370,0.004,-0.004,0.980
371,0.012,0.004,0.973
372,0.000,0.000,0.984
373,0.004,0.020,0.973
374,-0.023,0.020,0.988
375,-0.039,-0.012,1.012
376,-0.016,-0.023,1.004
377,0.027,-0.027,1.004
378,0.051,0.023,0.984
379,-0.004,0.004,0.984
380,-0.020,0.000,0.980
381,-0.027,-0.020,0.988
382,-0.004,-0.016,0.988
383,0.031,0.016,0.988
384,0.043,0.020,0.992
385,-0.020,0.031,0.992
386,-0.070,0.016,1.000
387,-0.055,0.012,0.992
388,0.016,0.023,0.988
389,0.035,0.023,1.008
390,0.004,0.023,1.000
391,-0.031,-0.035,1.008
392,-0.055,-0.020,0.992
393,-0.016,0.000,0.988
394,0.035,0.039,0.980
395,0.035,0.031,0.984
396,-0.020,-0.008,1.012
397,-0.094,-0.035,1.016
398,-0.070,-0.012,1.000
399,0.004,0.004,1.000
400,0.047,0.039,0.980
401,0.039,0.008,0.984
402,-0.020,-0.023,1.004
403,-0.027,-0.059,1.008
404,-0.035,0.023,0.969
405,0.008,0.031,0.984
406,-0.008,0.043,0.988
407,-0.055,-0.008,0.996
408,-0.055,-0.066,1.035
409,-0.016,-0.027,1.004
410,0.027,0.051,0.984
411,0.043,0.027,0.996
412,-0.020,0.039,0.973
413,-0.078,-0.012,1.035
414,-0.059,-0.023,1.000
415,0.000,-0.004,0.984
416,0.062,0.059,0.973
417,0.008,0.055,0.973
418,-0.086,-0.027,1.004
419,-0.117,-0.074,1.035
420,-0.043,-0.027,1.004
421,0.070,-0.012,1.008
422,0.098,0.035,0.969
423,0.023,0.020,0.961
